2025-11-24 14:57:00,644 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 14:57:00,644 - INFO - 
================================================================================
2025-11-24 14:57:00,645 - INFO - [EP 0] START
2025-11-24 14:57:00,645 - INFO - [EP 0] max_steps = 300
2025-11-24 14:57:01,255 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-1940038.cif
2025-11-24 14:57:01,255 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 14:57:01,262 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 14:57:19,265 - INFO - [EP 0][STEP 114] N=110 | Favg=1.621231 Fmax=5.020188 rew_mean=-0.215496 | replay=10,772 | alpha=0.99910
2025-11-24 14:57:19,403 - INFO - [EP 0][STEP 115] N=110 | Favg=1.662430 Fmax=5.297903 rew_mean=-0.219171 | replay=10,864 | alpha=0.99910
2025-11-24 14:57:19,541 - INFO - [EP 0][STEP 116] N=110 | Favg=1.669869 Fmax=5.105364 rew_mean=0.024129 | replay=10,953 | alpha=0.99910
2025-11-24 14:57:19,678 - INFO - [EP 0][STEP 117] N=110 | Favg=1.684511 Fmax=5.136011 rew_mean=-0.231486 | replay=11,039 | alpha=0.99910
2025-11-24 14:57:19,823 - INFO - [EP 0][STEP 118] N=110 | Favg=1.686214 Fmax=5.192315 rew_mean=-0.115121 | replay=11,133 | alpha=0.99880
2025-11-24 14:57:19,961 - INFO - [EP 0][STEP 119] N=110 | Favg=1.693972 Fmax=5.325712 rew_mean=-0.083550 | replay=11,218 | alpha=0.99880
2025-11-24 14:57:20,098 - INFO - [EP 0][STEP 120] N=110 | Favg=1.695681 Fmax=5.409797 rew_mean=0.135873 | replay=11,304 | alpha=0.99880
2025-11-24 14:57:20,236 - INFO - [EP 0][STEP 121] N=110 | Favg=1.706127 Fmax=5.420524 rew_mean=0.109321 | replay=11,391 | alpha=0.99880
2025-11-24 14:57:20,380 - INFO - [EP 0][STEP 122] N=110 | Favg=1.690011 Fmax=5.759538 rew_mean=-0.206309 | replay=11,477 | alpha=0.99850
2025-11-24 14:57:20,518 - INFO - [EP 0][STEP 123] N=110 | Favg=1.657585 Fmax=5.899093 rew_mean=0.135688 | replay=11,568 | alpha=0.99850
2025-11-24 14:57:20,656 - INFO - [EP 0][STEP 124] N=110 | Favg=1.644445 Fmax=5.810118 rew_mean=-0.099852 | replay=11,656 | alpha=0.99850
2025-11-24 14:57:20,794 - INFO - [EP 0][STEP 125] N=110 | Favg=1.653252 Fmax=5.955488 rew_mean=0.181088 | replay=11,741 | alpha=0.99850
2025-11-24 14:57:20,938 - INFO - [EP 0][STEP 126] N=110 | Favg=1.691977 Fmax=6.844782 rew_mean=-0.117039 | replay=11,830 | alpha=0.99820
2025-11-24 14:57:21,078 - INFO - [EP 0][STEP 127] N=110 | Favg=1.726496 Fmax=7.024879 rew_mean=-0.368184 | replay=11,916 | alpha=0.99820
2025-11-24 14:57:21,214 - INFO - [EP 0][STEP 128] N=110 | Favg=1.744401 Fmax=6.776823 rew_mean=-0.199280 | replay=12,003 | alpha=0.99820
2025-11-24 14:57:21,352 - INFO - [EP 0][STEP 129] N=110 | Favg=1.748538 Fmax=6.697294 rew_mean=0.115460 | replay=12,092 | alpha=0.99820
2025-11-24 14:57:21,495 - INFO - [EP 0][STEP 130] N=110 | Favg=1.754017 Fmax=7.059780 rew_mean=-0.114633 | replay=12,182 | alpha=0.99790
2025-11-24 14:57:21,632 - INFO - [EP 0][STEP 131] N=110 | Favg=1.738731 Fmax=6.945451 rew_mean=0.094274 | replay=12,267 | alpha=0.99790
2025-11-24 14:57:21,770 - INFO - [EP 0][STEP 132] N=110 | Favg=1.709502 Fmax=6.585271 rew_mean=0.199327 | replay=12,351 | alpha=0.99790
2025-11-24 14:57:21,908 - INFO - [EP 0][STEP 133] N=110 | Favg=1.700640 Fmax=6.653295 rew_mean=0.220126 | replay=12,446 | alpha=0.99790
2025-11-24 14:57:22,052 - INFO - [EP 0][STEP 134] N=110 | Favg=1.708294 Fmax=6.973650 rew_mean=-0.042257 | replay=12,531 | alpha=0.99760
2025-11-24 14:57:22,190 - INFO - [EP 0][STEP 135] N=110 | Favg=1.712854 Fmax=6.882218 rew_mean=0.009669 | replay=12,622 | alpha=0.99760
2025-11-24 14:57:22,327 - INFO - [EP 0][STEP 136] N=110 | Favg=1.738928 Fmax=6.538132 rew_mean=-0.320128 | replay=12,707 | alpha=0.99760
2025-11-24 14:57:22,466 - INFO - [EP 0][STEP 137] N=110 | Favg=1.749821 Fmax=6.355786 rew_mean=-0.232939 | replay=12,786 | alpha=0.99760
2025-11-24 14:57:22,610 - INFO - [EP 0][STEP 138] N=110 | Favg=1.730434 Fmax=6.282993 rew_mean=0.222378 | replay=12,877 | alpha=0.99730
2025-11-24 14:57:22,748 - INFO - [EP 0][STEP 139] N=110 | Favg=1.769222 Fmax=7.027464 rew_mean=-0.093139 | replay=12,972 | alpha=0.99730
2025-11-24 14:57:22,885 - INFO - [EP 0][STEP 140] N=110 | Favg=1.763820 Fmax=6.665565 rew_mean=0.013561 | replay=13,068 | alpha=0.99730
2025-11-24 14:57:23,026 - INFO - [EP 0][STEP 141] N=110 | Favg=1.827772 Fmax=7.330922 rew_mean=-0.142818 | replay=13,155 | alpha=0.99730
2025-11-24 14:57:23,171 - INFO - [EP 0][STEP 142] N=110 | Favg=1.870982 Fmax=7.427317 rew_mean=-0.147474 | replay=13,244 | alpha=0.99700
2025-11-24 14:57:23,308 - INFO - [EP 0][STEP 143] N=110 | Favg=1.878243 Fmax=7.272656 rew_mean=-0.110747 | replay=13,331 | alpha=0.99700
2025-11-24 14:57:23,446 - INFO - [EP 0][STEP 144] N=110 | Favg=1.891450 Fmax=7.630570 rew_mean=-0.107593 | replay=13,419 | alpha=0.99700
2025-11-24 14:57:23,583 - INFO - [EP 0][STEP 145] N=110 | Favg=1.895734 Fmax=7.548666 rew_mean=0.015330 | replay=13,501 | alpha=0.99700
2025-11-24 14:57:23,727 - INFO - [EP 0][STEP 146] N=110 | Favg=1.938564 Fmax=8.310318 rew_mean=-0.178538 | replay=13,585 | alpha=0.99670
2025-11-24 14:57:23,864 - INFO - [EP 0][STEP 147] N=110 | Favg=1.984642 Fmax=8.421716 rew_mean=-0.390261 | replay=13,675 | alpha=0.99670
2025-11-24 14:57:24,000 - INFO - [EP 0][STEP 148] N=110 | Favg=2.005084 Fmax=9.004569 rew_mean=-0.045725 | replay=13,756 | alpha=0.99670
2025-11-24 14:57:24,139 - INFO - [EP 0][STEP 149] N=110 | Favg=2.007905 Fmax=8.549968 rew_mean=0.094822 | replay=13,839 | alpha=0.99670
