2025-11-24 20:58:50,858 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 20:58:50,858 - INFO - 
================================================================================
2025-11-24 20:58:50,858 - INFO - [EP 0] START
2025-11-24 20:58:50,858 - INFO - [EP 0] max_steps = 300
2025-11-24 20:58:51,401 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-c95d01f.cif
2025-11-24 20:58:51,401 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 20:58:51,436 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 20:59:02,334 - INFO - [EP 0][STEP 86] N=76 | Favg=1.223135 Fmax=4.178402 rew_mean=-0.018883 | ep_buf=6,612 | alpha=1.00000
2025-11-24 20:59:02,435 - INFO - [EP 0][STEP 87] N=76 | Favg=1.214849 Fmax=4.010498 rew_mean=0.280352 | ep_buf=6,688 | alpha=1.00000
2025-11-24 20:59:02,536 - INFO - [EP 0][STEP 88] N=76 | Favg=1.204029 Fmax=4.023621 rew_mean=0.119588 | ep_buf=6,764 | alpha=1.00000
2025-11-24 20:59:02,638 - INFO - [EP 0][STEP 89] N=76 | Favg=1.173279 Fmax=3.918387 rew_mean=0.163157 | ep_buf=6,840 | alpha=1.00000
2025-11-24 20:59:02,739 - INFO - [EP 0][STEP 90] N=76 | Favg=1.165713 Fmax=4.011986 rew_mean=0.132713 | ep_buf=6,916 | alpha=1.00000
2025-11-24 20:59:02,841 - INFO - [EP 0][STEP 91] N=76 | Favg=1.181517 Fmax=3.948324 rew_mean=-0.382925 | ep_buf=6,992 | alpha=1.00000
2025-11-24 20:59:02,942 - INFO - [EP 0][STEP 92] N=76 | Favg=1.189910 Fmax=4.355026 rew_mean=0.060387 | ep_buf=7,068 | alpha=1.00000
2025-11-24 20:59:03,043 - INFO - [EP 0][STEP 93] N=76 | Favg=1.169412 Fmax=4.230658 rew_mean=0.091030 | ep_buf=7,144 | alpha=1.00000
2025-11-24 20:59:03,145 - INFO - [EP 0][STEP 94] N=76 | Favg=1.182111 Fmax=4.018344 rew_mean=-0.195320 | ep_buf=7,220 | alpha=1.00000
2025-11-24 20:59:03,247 - INFO - [EP 0][STEP 95] N=76 | Favg=1.211181 Fmax=4.533865 rew_mean=-0.269882 | ep_buf=7,296 | alpha=1.00000
2025-11-24 20:59:03,348 - INFO - [EP 0][STEP 96] N=76 | Favg=1.226111 Fmax=4.746344 rew_mean=-0.153373 | ep_buf=7,372 | alpha=1.00000
2025-11-24 20:59:03,450 - INFO - [EP 0][STEP 97] N=76 | Favg=1.214397 Fmax=4.729714 rew_mean=0.167354 | ep_buf=7,448 | alpha=1.00000
2025-11-24 20:59:03,551 - INFO - [EP 0][STEP 98] N=76 | Favg=1.220688 Fmax=4.764718 rew_mean=-0.065993 | ep_buf=7,524 | alpha=1.00000
2025-11-24 20:59:03,652 - INFO - [EP 0][STEP 99] N=76 | Favg=1.233567 Fmax=4.912282 rew_mean=0.049596 | ep_buf=7,600 | alpha=1.00000
2025-11-24 20:59:03,754 - INFO - [EP 0][STEP 100] N=76 | Favg=1.231944 Fmax=5.005529 rew_mean=-0.087634 | ep_buf=7,676 | alpha=1.00000
2025-11-24 20:59:03,855 - INFO - [EP 0][STEP 101] N=76 | Favg=1.241480 Fmax=4.814150 rew_mean=-0.249324 | ep_buf=7,752 | alpha=1.00000
2025-11-24 20:59:03,956 - INFO - [EP 0][STEP 102] N=76 | Favg=1.231877 Fmax=4.941069 rew_mean=-0.076912 | ep_buf=7,828 | alpha=1.00000
2025-11-24 20:59:04,058 - INFO - [EP 0][STEP 103] N=76 | Favg=1.228911 Fmax=4.931634 rew_mean=0.100110 | ep_buf=7,904 | alpha=1.00000
2025-11-24 20:59:04,159 - INFO - [EP 0][STEP 104] N=76 | Favg=1.245984 Fmax=5.145129 rew_mean=-0.167160 | ep_buf=7,980 | alpha=1.00000
2025-11-24 20:59:04,261 - INFO - [EP 0][STEP 105] N=76 | Favg=1.250388 Fmax=5.313121 rew_mean=-0.087964 | ep_buf=8,056 | alpha=1.00000
2025-11-24 20:59:04,362 - INFO - [EP 0][STEP 106] N=76 | Favg=1.236637 Fmax=5.173379 rew_mean=0.112240 | ep_buf=8,132 | alpha=1.00000
2025-11-24 20:59:04,464 - INFO - [EP 0][STEP 107] N=76 | Favg=1.239488 Fmax=5.093601 rew_mean=-0.066662 | ep_buf=8,208 | alpha=1.00000
2025-11-24 20:59:04,565 - INFO - [EP 0][STEP 108] N=76 | Favg=1.227721 Fmax=5.098565 rew_mean=0.217162 | ep_buf=8,284 | alpha=1.00000
2025-11-24 20:59:04,667 - INFO - [EP 0][STEP 109] N=76 | Favg=1.204058 Fmax=4.771175 rew_mean=0.223053 | ep_buf=8,360 | alpha=1.00000
2025-11-24 20:59:04,768 - INFO - [EP 0][STEP 110] N=76 | Favg=1.207620 Fmax=4.806867 rew_mean=0.191565 | ep_buf=8,436 | alpha=1.00000
2025-11-24 20:59:04,869 - INFO - [EP 0][STEP 111] N=76 | Favg=1.200271 Fmax=4.783993 rew_mean=0.066304 | ep_buf=8,512 | alpha=1.00000
2025-11-24 20:59:04,971 - INFO - [EP 0][STEP 112] N=76 | Favg=1.185655 Fmax=4.911727 rew_mean=0.160124 | ep_buf=8,588 | alpha=1.00000
2025-11-24 20:59:05,073 - INFO - [EP 0][STEP 113] N=76 | Favg=1.161177 Fmax=4.836113 rew_mean=0.313129 | ep_buf=8,664 | alpha=1.00000
2025-11-24 20:59:05,174 - INFO - [EP 0][STEP 114] N=76 | Favg=1.183895 Fmax=4.749686 rew_mean=-0.207910 | ep_buf=8,740 | alpha=1.00000
2025-11-24 20:59:05,275 - INFO - [EP 0][STEP 115] N=76 | Favg=1.186676 Fmax=5.049719 rew_mean=0.164527 | ep_buf=8,816 | alpha=1.00000
2025-11-24 20:59:05,376 - INFO - [EP 0][STEP 116] N=76 | Favg=1.190769 Fmax=5.115884 rew_mean=-0.118721 | ep_buf=8,892 | alpha=1.00000
2025-11-24 20:59:05,478 - INFO - [EP 0][STEP 117] N=76 | Favg=1.205264 Fmax=5.161403 rew_mean=-0.108030 | ep_buf=8,968 | alpha=1.00000
2025-11-24 20:59:05,579 - INFO - [EP 0][STEP 118] N=76 | Favg=1.213966 Fmax=5.245285 rew_mean=-0.067799 | ep_buf=9,044 | alpha=1.00000
