episode,total_steps,return,steps,done_reason,fmax_last,buffer_size,cif_path
101,5456,-52.249223,66,bond,178.468613,300000,"mofs/train_pool_valid/qmof-708e4d8.cif"
102,5513,-52.101699,57,bond,2665.030518,300000,"mofs/train_pool_valid/qmof-8df56c1.cif"
103,5550,-32.375989,37,bond,252.544403,300000,"mofs/train_pool_valid/qmof-5e7e509.cif"
104,5596,-42.720150,46,bond,4034.929688,300000,"mofs/train_pool_valid/qmof-166954d.cif"
105,5649,-53.247256,53,bond,2584.685303,300000,"mofs/train_pool_valid/qmof-4973626.cif"
106,5710,-51.277613,61,bond,351.652985,300000,"mofs/train_pool_valid/qmof-ca968a3.cif"
107,5802,-78.486033,92,bond,1864.753906,300000,"mofs/train_pool_valid/qmof-702a0a9.cif"
108,5866,-47.967514,64,bond,433.259125,300000,"mofs/train_pool_valid/qmof-4a0f1fc.cif"
109,5930,-52.952320,64,bond,963.102905,300000,"mofs/train_pool_valid/qmof-e9bfd48.cif"
110,6028,-83.623337,98,bond,1912.723511,300000,"mofs/train_pool_valid/qmof-b1dd1e9.cif"
111,6085,-49.107785,57,bond,192.089432,300000,"mofs/train_pool_valid/qmof-8be7b17.cif"
112,6138,-55.094842,53,bond,209.624741,300000,"mofs/train_pool_valid/qmof-e4d19f2.cif"
113,6224,-94.958982,86,bond,1881.255859,300000,"mofs/train_pool_valid/qmof-a36b5af.cif"
114,6273,-51.830232,49,bond,325.648590,300000,"mofs/train_pool_valid/qmof-3195183.cif"
115,6310,-40.947941,37,bond,248.146378,300000,"mofs/train_pool_valid/qmof-5d52dfb.cif"
116,6381,-71.254536,71,bond,21875.281250,300000,"mofs/train_pool_valid/qmof-3067afa.cif"
117,6424,-36.498629,43,bond,1881.609253,300000,"mofs/train_pool_valid/qmof-5718ab1.cif"
118,6472,-43.585919,48,bond,1472.131226,300000,"mofs/train_pool_valid/qmof-c82cbb7.cif"
119,6516,-40.460267,44,bond,1959.590210,300000,"mofs/train_pool_valid/qmof-c04b7b9.cif"
120,6578,-57.073561,62,bond,358.431641,300000,"mofs/train_pool_valid/qmof-5c97ebc.cif"
121,6658,-88.866764,80,bond,207.948502,300000,"mofs/train_pool_valid/qmof-d08dcb5.cif"
122,6704,-45.275862,46,bond,240.405243,300000,"mofs/train_pool_valid/qmof-97bca44.cif"
123,6773,-74.002103,69,bond,9785.510742,300000,"mofs/train_pool_valid/qmof-d05d631.cif"
124,6842,-70.982675,69,bond,1876.034912,300000,"mofs/train_pool_valid/qmof-8d3b23c.cif"
125,6904,-60.748394,62,bond,25608.613281,300000,"mofs/train_pool_valid/qmof-7fe12e1.cif"
126,6961,-63.718632,57,bond,1684.849487,300000,"mofs/train_pool_valid/qmof-4cb8498.cif"
